player_id,matchweek,goals_scored,assists,clean_sheets,minutes_played,points
306,2,0,0,0,0,0
309,2,0,1,0,90,5
209,2,0,0,0,84,2
91,2,0,0,0,0,0
64,2,0,0,0,14,1
134,2,0,0,0,80,1
50,2,1,0,1,90,10
505,2,0,0,0,0,0
239,2,0,0,0,0,0
119,2,1,1,1,78,11
578,2,0,0,0,0,0
394,2,0,0,0,5,1
69,2,0,0,0,0,0
561,2,0,0,0,0,0
147,2,0,0,0,0,0
363,2,0,0,0,0,0
278,2,0,0,0,0,0
115,2,0,0,1,70,3
457,2,0,0,0,1,1
581,2,0,0,0,0,0
405,2,0,0,0,90,2
271,2,0,0,0,90,1
17,2,0,0,1,90,6
286,2,0,0,0,0,0
290,2,0,0,0,75,2
131,2,1,1,0,90,11
295,2,0,0,0,14,1
576,2,0,0,0,90,1
12,2,0,0,1,69,3
44,2,1,0,0,16,7
345,2,0,0,0,0,0
523,2,1,0,0,75,9
214,2,0,0,0,0,0
589,2,0,0,0,0,0
639,2,0,0,1,90,7
399,2,0,0,0,0,0
391,2,0,0,0,90,-1
456,2,0,0,0,0,0
108,2,2,0,1,90,16
16,2,0,0,0,0,0
304,2,0,0,0,57,-2
618,2,0,0,0,0,0
58,2,0,0,0,27,1
446,2,0,0,0,0,0
89,2,0,0,0,90,1
646,2,0,0,0,0,0
127,2,0,0,0,0,0
385,2,0,0,0,0,0
83,2,0,0,0,83,1
30,2,0,0,0,0,0
407,2,0,0,0,90,2
525,2,0,0,0,68,2
434,2,0,0,0,0,0
650,2,0,0,0,1,1
408,2,0,0,0,0,0
220,2,0,0,0,90,2
567,2,0,0,0,90,2
625,2,0,0,0,0,0
640,2,0,0,0,0,0
42,2,0,1,1,90,10
199,2,0,0,0,90,0
428,2,0,0,0,0,0
253,2,0,0,0,0,0
361,2,0,0,0,0,0
230,2,0,0,0,90,2
35,2,0,0,0,0,0
32,2,0,0,0,0,0
518,2,0,0,0,0,0
96,2,0,0,1,90,6
26,2,0,0,0,0,0
372,2,0,0,0,65,1
194,2,0,0,0,0,0
550,2,0,0,0,0,0
533,2,0,0,0,0,0
633,2,0,0,0,4,1
357,2,0,0,0,0,0
430,2,0,0,0,90,2
509,2,0,0,1,69,3
476,2,0,0,0,0,0
148,2,0,0,0,90,3
424,2,0,0,0,90,3
6,2,0,0,1,90,2
61,2,0,0,0,0,0
528,2,0,0,0,90,2
396,2,0,0,0,84,2
458,2,0,0,0,0,0
132,2,0,0,0,23,1
141,2,0,0,0,0,0
493,2,0,0,1,90,3
559,2,0,0,0,54,1
249,2,0,0,0,90,2
352,2,0,0,1,90,6
313,2,0,0,0,90,2
439,2,0,0,0,68,1
392,2,0,0,0,0,0
358,2,0,0,0,0,0
382,2,0,0,0,65,2
251,2,0,0,0,0,0
624,2,0,0,0,45,1
359,2,0,0,0,0,0
571,2,0,0,0,0,0
27,2,0,0,0,0,0
412,2,0,0,0,55,0
443,2,0,0,0,0,0
222,2,0,0,0,0,0
310,2,0,0,0,0,0
642,2,0,0,0,9,1
10,2,0,0,0,1,1
70,2,0,0,0,14,1
260,2,0,0,0,0,0
497,2,0,0,0,2,1
151,2,0,0,0,33,1
402,2,0,0,0,85,2
102,2,0,0,0,0,0
641,2,0,0,0,0,0
187,2,0,0,0,0,0
88,2,0,0,0,0,0
520,2,0,0,1,90,11
413,2,0,0,0,0,0
419,2,0,0,0,0,0
307,2,0,0,0,90,2
503,2,0,0,0,0,0
240,2,0,0,0,73,2
256,2,0,0,0,50,1
297,2,0,0,0,62,2
211,2,0,0,0,90,1
543,2,0,0,0,0,0
138,2,0,0,0,9,1
548,2,0,0,0,4,1
524,2,0,0,0,90,10
291,2,0,0,0,90,2
513,2,1,0,1,75,10
598,2,0,0,0,0,0
554,2,0,0,0,0,0
264,2,0,0,0,0,0
560,2,0,0,0,0,0
437,2,1,0,0,83,7
114,2,0,0,0,12,1
610,2,0,0,0,23,1
311,2,0,0,0,4,1
128,2,0,0,0,9,1
609,2,0,0,0,0,0
484,2,0,0,0,45,1
243,2,0,0,0,0,0
649,2,0,0,0,0,0
383,2,0,0,0,0,0
47,2,0,0,1,90,3
186,2,0,0,0,0,0
580,2,0,0,0,0,0
152,2,0,0,0,0,0
56,2,0,0,0,0,0
275,2,0,0,0,90,2
99,2,0,0,0,9,1
440,2,0,0,0,0,0
31,2,0,0,0,1,1
272,2,0,0,0,0,0
433,2,0,0,0,24,1
426,2,0,0,0,0,0
123,2,0,0,0,0,0
39,2,0,0,0,0,0
373,2,0,0,0,90,1
87,2,0,0,0,6,1
146,2,0,0,0,0,0
464,2,0,0,0,0,0
657,2,0,0,0,7,1
8,2,0,0,0,0,0
496,2,0,0,0,0,0
242,2,0,0,0,82,2
603,2,0,0,0,34,0
356,2,0,0,1,90,3
588,2,0,0,0,90,0
530,2,0,0,0,0,0
508,2,0,0,0,0,0
447,2,0,0,0,90,2
395,2,0,0,0,90,1
606,2,0,0,0,0,0
374,2,0,0,0,0,0
502,2,0,0,0,0,0
